income,debt,payment_history,credit_utilization,loan_amount,employment_years,creditworthy
25000,12000,3,75,15000,2,0
45000,8000,8,35,10000,5,1
30000,15000,4,65,18000,3,0
60000,5000,9,25,12000,7,1
35000,10000,6,45,14000,4,1
20000,18000,2,85,20000,1,0
55000,7000,9,30,15000,6,1
28000,14000,3,70,16000,2,0
70000,6000,10,20,10000,8,1
40000,9000,7,40,13000,5,1
22000,16000,2,80,19000,1,0
50000,7000,8,30,12000,6,1
32000,13000,4,60,17000,3,0
65000,5000,10,15,10000,9,1
27000,17000,3,75,18000,2,0
48000,8000,8,35,13000,5,1
38000,11000,6,50,15000,4,1
24000,15000,2,78,19000,1,0
58000,6000,9,25,11000,7,1
33000,12000,5,55,16000,3,0
